Existence of commercial and service activities by type - self employment,Existence of commercial and service activities by type - public sector,Existence of commercial and service activities by type - banking institutions,Existence of commercial and service activities by type - service institutions,Existence of commercial and service activities by type - commerce,Town,refArea,Total number of commercial institutions by size - number of small institutions,Total number of commercial institutions by size - number of medium-sized institutions,Total number of commercial institutions by size - number of large-sized institutions,Total number of service institutions,Total number of non banking financial institutions,Observation URI,publisher,dataset,references
1,0,1,0,1,Kfar Aaqqa,https://dbpedia.org/page/North_Governorate,30,3,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Aaqqa,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Kfar Baal,http://dbpedia.org/resource/Byblos_District,5,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Baal,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kfar Beit,http://dbpedia.org/resource/Sidon_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Beit,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kfar Bibnine,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Bibnine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,0,Kfar Chellal,http://dbpedia.org/resource/Sidon_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Chellal,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,1,1,Kfar Chellane,http://dbpedia.org/resource/MiniyehâDanniyeh_District,4,2,2,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Chellane,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Kfar Chima,http://dbpedia.org/resource/Baabda_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Chima,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Kfar Chouba,http://dbpedia.org/resource/Hasbaya_District,20,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Chouba,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,0,Kfar Dane,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Dane,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,0,Kfar Denis,https://dbpedia.org/page/Beqaa_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Denis,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,1,0,1,Kfar Dibiane,http://dbpedia.org/resource/Keserwan_District,2,5,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Dibiane,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Kfar Dounine,http://dbpedia.org/resource/Bint_Jbeil_District,3,0,0,0,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Dounine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,1,0,Kfar Falous,https://dbpedia.org/page/South_Governorate,0,0,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Falous,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Kfar Faqoud,https://dbpedia.org/page/Mount_Lebanon_Governorate,10,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Faqoud,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kfar Habou,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Habou,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kfar Hamam,http://dbpedia.org/resource/Hasbaya_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Hamam,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Kfar Hatta Saida,http://dbpedia.org/resource/Sidon_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Hatta+Saida,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kfar Hay,http://dbpedia.org/resource/Batroun_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Hay,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,1,1,Kfar Hazir,https://dbpedia.org/page/North_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Hazir,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Kfar Heam,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Heam,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Kfar Hilda,http://dbpedia.org/resource/Batroun_District,10,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Hilda,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Kfar Houneh,https://dbpedia.org/page/South_Governorate,3,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Houneh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kfar Jreif,http://dbpedia.org/resource/Keserwan_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Jreif,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Kfar Kila,http://dbpedia.org/resource/Marjeyoun_District,50,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Kila,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Kfar Matta,http://dbpedia.org/resource/Aley_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Matta,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,1,1,Kfar Melki Saida,http://dbpedia.org/resource/Sidon_District,60,1,0,0,4,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Melki+Saida,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Kfar Nabrakh,https://dbpedia.org/page/Mount_Lebanon_Governorate,30,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Nabrakh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,1,0,Kfar Niss,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Niss,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Kfar Qatra,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Qatra,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kfar Qouq,https://dbpedia.org/page/Beqaa_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Qouq,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Kfar Roummane,https://dbpedia.org/page/Nabatieh_Governorate,200,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Roummane,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,0,Kfar Selouane,http://dbpedia.org/resource/Baabda_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Selouane,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kfar Sir,https://dbpedia.org/page/Nabatieh_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Sir,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,0,Kfar Tay El-Matn,http://dbpedia.org/resource/Matn_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Tay+El-Matn,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Kfar Tibnit,https://dbpedia.org/page/Nabatieh_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+Tibnit,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Kfar michki,https://dbpedia.org/page/Beqaa_Governorate,10,5,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfar+michki,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,1,1,Kfardlaqous,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfardlaqous,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kfarfila,https://dbpedia.org/page/Nabatieh_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfarfila,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Kfarfou,http://dbpedia.org/resource/Zgharta_District,10,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfarfou,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,1,Kfarhata ,https://dbpedia.org/page/North_Governorate,5,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfarhata+,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,1,0,1,Kfarhata Zgharta,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfarhata+Zgharta,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kfarsghab,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfarsghab,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,1,Kfartoun,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfartoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kfaryachit,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfaryachit,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kfarzabad,http://dbpedia.org/resource/ZahlÃ©_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfarzabad,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Kfarzaina,http://dbpedia.org/resource/Zgharta_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfarzaina,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kfoun,http://dbpedia.org/resource/Byblos_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kfour El-Aarbi,http://dbpedia.org/resource/Batroun_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfour+El-Aarbi,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kfour En-Nabatieh,http://dbpedia.org/resource/Keserwan_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kfour+En-Nabatieh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Khalwat,http://dbpedia.org/resource/Hasbaya_District,10,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khalwat,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kharbe,http://dbpedia.org/resource/Byblos_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kharbe,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kharnoub,http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kharnoub,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Khartoum,http://dbpedia.org/resource/Sidon_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khartoum,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Khat el Petrol,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khat+el+Petrol,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Khayayeb Saida,http://dbpedia.org/resource/Sidon_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khayayeb+Saida,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Khereibet Ech-Chouf,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khereibet+Ech-Chouf,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Khinchara,http://dbpedia.org/resource/Matn_District,25,5,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khinchara,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Khirbet Bisri,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khirbet+Bisri,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Khirbet Char,https://dbpedia.org/page/Akkar_Governorate,4,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khirbet+Char,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Khirbet Daoud Aakkar,https://dbpedia.org/page/Akkar_Governorate,2,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khirbet+Daoud+Aakkar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Khirbet Jord,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khirbet+Jord,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,1,Khirbet Qanafar,http://dbpedia.org/resource/Western_Beqaa_District,5,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khirbet+Qanafar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,0,1,Khirbet Rouha,https://dbpedia.org/page/Beqaa_Governorate,5,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khirbet+Rouha,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Khirbet Selm,http://dbpedia.org/resource/Bint_Jbeil_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khirbet+Selm,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,1,0,1,0,Khiyam Marjaayoun,http://dbpedia.org/resource/Marjeyoun_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khiyam+Marjaayoun,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,0,Khodr Baalbek,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khodr+Baalbek,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Khreibet Baabda,http://dbpedia.org/resource/Baabda_District,6,1,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khreibet+Baabda,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,0,0,1,Khreibet Ej-Jindi,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khreibet+Ej-Jindi,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Khzaiz,http://dbpedia.org/resource/Sidon_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Khzaiz,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kleyleh,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kleyleh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kneisset Aakkar,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kneisset+Aakkar,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kneisset Ech-Chouf,https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kneisset+Ech-Chouf,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Kneisset Sour,http://dbpedia.org/resource/Tyre_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kneisset+Sour,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kouachra,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kouachra,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kouakh,http://dbpedia.org/resource/Hermel_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kouakh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Koueikhat,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Koueikhat,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,1,1,Kounine,http://dbpedia.org/resource/Bint_Jbeil_District,5,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kounine,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kour,http://dbpedia.org/resource/Batroun_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kour,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,1,1,0,1,Kousba,https://dbpedia.org/page/North_Governorate,20,10,4,0,3,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kousba,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Kroum El-Aarab,https://dbpedia.org/page/Akkar_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Kroum+El-Aarab,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,0,Laboueh,https://dbpedia.org/page/Baalbek-Hermel_Governorate,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Laboueh,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
1,0,0,0,0,Lala,http://dbpedia.org/resource/Western_Beqaa_District,0,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Lala,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
0,0,0,0,1,Laqlouq,http://dbpedia.org/resource/Byblos_District,3,0,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Trade-Laqlouq,Impact Open Data,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Trade-Lebanon-2023,https://impact.cib.gov.lb/home#open_data_section
